,seg,dur,sex,type
0,s1,0.0228,M,WT
1,s2,0.0395,M,WT
2,s1,0.0135,M,WT
3,sil,0.0034,M,WT
4,s2,0.0121,M,WT
5,s1,0.0180,M,WT
6,sil,0.0089,M,WT
7,s2,0.0249,M,WT
8,s1,0.0174,M,WT
9,sil,0.0059,M,WT
10,s2,0.0274,M,WT
11,s1,0.0201,M,WT
12,sil,0.0056,M,WT
13,s2,0.0188,M,WT
14,s1,0.0183,M,WT
15,sil,0.0075,M,WT
16,s2,0.0257,M,WT
17,s1,0.0157,M,WT
18,sil,0.0076,M,WT
19,s2,0.0291,M,WT
20,s1,0.0196,M,WT
21,sil,0.0059,M,WT
22,s2,0.0088,M,WT
23,s1,0.0156,F,WT
24,sil,0.0195,F,WT
25,s2,0.0269,F,WT
26,s1,0.0165,F,WT
27,sil,0.0157,F,WT
28,s2,0.0083,F,WT
29,s1,0.0114,F,WT
30,sil,0.0092,F,WT
31,s2,0.0250,F,WT
32,s1,0.0098,F,WT
33,sil,0.0081,F,WT
34,s2,0.0098,F,WT
35,s1,0.0161,F,WT
36,sil,0.0186,F,WT
37,s2,0.0272,F,WT
38,s1,0.0113,F,WT
39,sil,0.0070,F,WT
40,s2,0.0099,F,WT
41,s1,0.0202,F,WT
42,sil,0.0041,F,WT
43,s2,0.0254,F,WT
44,s1,0.0142,F,WT
45,sil,0.0104,F,WT
46,s2,0.0094,F,WT
47,sil,0.0033,F,WT
48,s2,0.0254,F,WT
49,s1,0.0198,F,WT
50,sil,0.0120,F,WT
51,s2,0.0144,F,WT
52,s1,0.0224,F,WT
53,sil,0.0026,F,WT
54,s2,0.0076,F,WT
55,s1,0.0193,F,WT
56,sil,0.0046,F,WT
57,s2,0.0250,F,WT
58,s1,0.0182,F,WT
59,sil,0.0052,F,WT
60,s2,0.0249,F,WT
61,s1,0.0174,F,WT
62,sil,0.0152,F,WT
63,s2,0.0164,F,WT
64,s1,0.0157,F,WT
65,sil,0.0121,F,WT
66,s2,0.0222,F,WT
67,sil,0.0035,F,WT
68,s2,0.0093,F,WT
69,s1,0.0251,F,WT
70,sil,0.0121,F,WT
71,s2,0.0142,F,WT
72,s1,0.0153,F,WT
73,sil,0.0180,F,WT
74,s2,0.0255,F,WT
75,s1,0.0204,F,WT
76,sil,0.0125,F,WT
77,s2,0.0194,F,WT
78,s1,0.0178,F,WT
79,sil,0.0163,F,WT
80,s2,0.0204,F,WT
81,s1,0.0216,F,WT
82,sil,0.0027,F,WT
83,s2,0.0094,F,WT
84,s1,0.0180,F,WT
85,sil,0.0053,F,WT
86,s2,0.0248,F,WT
87,s1,0.0164,F,WT
88,sil,0.0186,F,WT
89,s2,0.0268,F,WT
90,s1,0.0159,F,WT
91,sil,0.0078,F,WT
92,s2,0.0140,F,WT
93,s1,0.0157,F,WT
94,sil,0.0093,F,WT
95,s2,0.0144,F,WT
96,s1,0.0098,F,WT
97,sil,0.0069,F,WT
98,s2,0.0105,F,WT
99,s1,0.0145,F,WT
100,sil,0.0042,F,WT
101,s2,0.0261,F,WT
102,s1,0.0158,F,WT
103,sil,0.0159,F,WT
104,s2,0.0215,F,WT
105,s1,0.0168,F,WT
106,sil,0.0092,F,WT
107,s2,0.0137,F,WT
108,s1,0.0154,F,WT
109,sil,0.0170,F,WT
110,s2,0.0255,F,WT
111,sil,0.0112,F,WT
112,s2,0.0084,F,WT
113,s1,0.0125,F,WT
114,sil,0.0088,F,WT
115,s2,0.0254,F,WT
116,s1,0.0135,F,WT
117,sil,0.0088,F,WT
118,s2,0.0087,F,WT
