,seg,freq,sex,type
0,f1ini,80.6291,F,WT
0,f1max,83.6866,F,WT
0,f1end,80.4347,F,WT
0,f2ini,78.0058,F,WT
0,f2max,82.6157,F,WT
0,f2end,77.2197,F,WT
0,f1ini,85.9498,F,WT
0,f1max,89.2232,F,WT
0,f1end,80.1596,F,WT
0,f2ini,72.6952,F,WT
0,f2max,78.6465,F,WT
0,f2end,71.4304,F,WT
0,f1ini,92.8232,F,WT
0,f1max,95.0515,F,WT
0,f1end,87.7776,F,WT
0,f2ini,84.4648,F,WT
0,f2max,89.7395,F,WT
0,f2end,69.8951,F,WT
0,f1ini,78.3199,F,WT
0,f1max,84.0658,F,WT
0,f1end,80.3389,F,WT
0,f2ini,73.4469,F,WT
0,f2max,76.3913,F,WT
0,f2end,72.2978,F,WT
0,f1ini,80.0391,F,WT
0,f1max,82.0313,F,WT
0,f1end,81.0156,F,WT
0,f2ini,78.0859,F,WT
0,f2max,81.0547,F,WT
0,f2end,77.0156,F,WT
0,f1ini,63.4609,F,WT
0,f1max,73.5000,F,WT
0,f1end,62.4609,F,WT
0,f2ini,70.5078,F,WT
0,f2max,71.5234,F,WT
0,f2end,69.7322,F,WT
0,f1ini,79.6892,F,WT
0,f1max,81.3223,F,WT
0,f1end,80.4678,F,WT
0,f2ini,78.4291,F,WT
0,f2max,82.0062,F,WT
0,f2end,76.5244,F,WT
0,f1ini,62.1998,F,WT
0,f1max,64.8220,F,WT
0,f1end,62.1682,F,WT
0,f2ini,70.1739,F,WT
0,f2max,71.1692,F,WT
0,f2end,59.9942,F,WT
0,f1ini,79.8492,F,WT
0,f1max,81.4390,F,WT
0,f1end,80.7733,F,WT
0,f2ini,78.6197,F,WT
0,f2max,81.3959,F,WT
0,f2end,80.0641,F,WT
0,f1ini,62.5735,F,WT
0,f1max,63.4174,F,WT
0,f1end,62.4356,F,WT
0,f2ini,78.7069,F,WT
0,f2max,80.2677,F,WT
0,f2end,69.5697,F,WT
0,f1ini,80.7124,F,WT
0,f1max,81.7243,F,WT
0,f1end,79.7023,F,WT
0,f2ini,78.0052,F,WT
0,f2max,80.0621,F,WT
0,f2end,77.5829,F,WT
0,f1ini,62.4991,F,WT
0,f1max,63.8652,F,WT
0,f1end,61.9651,F,WT
0,f2ini,68.5947,F,WT
0,f2max,70.7605,F,WT
0,f2end,62.3570,F,WT
0,f1ini,90.2175,F,WT
0,f1max,93.7835,F,WT
0,f1end,79.2916,F,WT
0,f2ini,83.0106,F,WT
0,f2max,85.0775,F,WT
0,f2end,78.8967,F,WT
0,f1ini,63.2107,F,WT
0,f1max,64.5167,F,WT
0,f1end,63.0332,F,WT
0,f2ini,61.0578,F,WT
0,f2max,61.9460,F,WT
0,f2end,61.3936,F,WT
0,f1ini,99.3306,F,WT
0,f1max,111.4208,F,WT
0,f1end,87.9102,F,WT
0,f2ini,78.9847,F,WT
0,f2max,79.8121,F,WT
0,f2end,71.2428,F,WT
0,f1ini,96.5861,F,WT
0,f1max,104.6504,F,WT
0,f1end,86.0622,F,WT
0,f2ini,71.2647,F,WT
0,f2max,71.9460,F,WT
0,f2end,67.4991,F,WT
0,f1ini,91.7578,F,WT
0,f1max,96.6797,F,WT
0,f1end,85.8984,F,WT
0,f2ini,84.9219,F,WT
0,f2max,87.8906,F,WT
0,f2end,68.3203,F,WT
0,f1ini,91.3227,F,WT
0,f1max,96.2442,F,WT
0,f1end,86.5743,F,WT
0,f2ini,84.5132,F,WT
0,f2max,86.9054,F,WT
0,f2end,69.1965,F,WT
0,f1ini,91.3163,F,WT
0,f1max,96.3813,F,WT
0,f1end,85.0230,F,WT
0,f2ini,85.5349,F,WT
0,f2max,87.8601,F,WT
0,f2end,67.5373,F,WT
0,f1ini,92.5981,F,WT
0,f1max,96.7182,F,WT
0,f1end,85.1235,F,WT
0,f2ini,85.5039,F,WT
0,f2max,87.5329,F,WT
0,f2end,67.6422,F,WT
0,f1ini,91.7578,F,WT
0,f1max,94.7266,F,WT
0,f1end,81.0156,F,WT
0,f2ini,81.0156,F,WT
0,f2max,86.9141,F,WT
0,f2end,77.1094,F,WT
0,f1ini,97.5234,F,WT
0,f1max,108.3516,F,WT
0,f1end,86.8750,F,WT
0,f2ini,77.1094,F,WT
0,f2max,79.1016,F,WT
0,f2end,72.2266,F,WT
0,f1ini,91.2759,F,WT
0,f1max,93.9789,F,WT
0,f1end,81.4579,F,WT
0,f2ini,81.3230,F,WT
0,f2max,86.9915,F,WT
0,f2end,77.6779,F,WT
0,f1ini,101.1698,F,WT
0,f1max,110.0679,F,WT
0,f1end,87.8414,F,WT
0,f2ini,76.8179,F,WT
0,f2max,79.5051,F,WT
0,f2end,73.2163,F,WT
0,f1ini,92.2453,F,WT
0,f1max,95.0202,F,WT
0,f1end,80.3289,F,WT
0,f2ini,80.3308,F,WT
0,f2max,87.2513,F,WT
0,f2end,76.9972,F,WT
0,f1ini,98.0154,F,WT
0,f1max,110.9174,F,WT
0,f1end,86.9407,F,WT
0,f2ini,76.5151,F,WT
0,f2max,78.2986,F,WT
0,f2end,71.7860,F,WT
0,f1ini,90.9998,F,WT
0,f1max,94.8956,F,WT
0,f1end,81.2214,F,WT
0,f2ini,80.9132,F,WT
0,f2max,87.5913,F,WT
0,f2end,77.6925,F,WT
0,f1ini,99.5767,F,WT
0,f1max,107.7196,F,WT
0,f1end,86.4461,F,WT
0,f2ini,77.1324,F,WT
0,f2max,79.6297,F,WT
0,f2end,71.3182,F,WT
0,f1ini,87.8516,F,WT
0,f1max,90.8203,F,WT
0,f1end,79.0625,F,WT
0,f2ini,73.2031,F,WT
0,f2max,79.1016,F,WT
0,f2end,72.3661,F,WT
0,f1ini,78.1328,F,WT
0,f1max,84.9609,F,WT
0,f1end,83.9453,F,WT
0,f2ini,75.1562,F,WT
0,f2max,76.1719,F,WT
0,f2end,74.1797,F,WT
0,f1ini,87.8145,F,WT
0,f1max,91.6376,F,WT
0,f1end,79.8396,F,WT
0,f2ini,73.2365,F,WT
0,f2max,79.6083,F,WT
0,f2end,73.1739,F,WT
0,f1ini,78.2152,F,WT
0,f1max,85.8759,F,WT
0,f1end,83.0331,F,WT
0,f2ini,75.4259,F,WT
0,f2max,75.6457,F,WT
0,f2end,73.2514,F,WT
0,f1ini,88.2587,F,WT
0,f1max,91.2469,F,WT
0,f1end,79.1713,F,WT
0,f2ini,72.4170,F,WT
0,f2max,78.5361,F,WT
0,f2end,73.2051,F,WT
0,f1ini,77.3259,F,WT
0,f1max,84.4970,F,WT
0,f1end,84.1426,F,WT
0,f2ini,75.8046,F,WT
0,f2max,76.0229,F,WT
0,f2end,73.5778,F,WT
0,f1ini,88.5557,F,WT
0,f1max,90.0233,F,WT
0,f1end,79.5888,F,WT
0,f2ini,74.1545,F,WT
0,f2max,78.5062,F,WT
0,f2end,72.9213,F,WT
0,f1ini,77.9962,F,WT
0,f1max,85.7104,F,WT
0,f1end,83.1452,F,WT
0,f2ini,74.6429,F,WT
0,f2max,76.2260,F,WT
0,f2end,73.8796,F,WT
0,f1ini,96.6406,F,WT
0,f1max,100.5859,F,WT
0,f1end,87.8516,F,WT
0,f2ini,71.2506,F,WT
0,f2max,72.2656,F,WT
0,f2end,68.3203,F,WT
0,f1ini,66.3672,F,WT
0,f1max,68.3594,F,WT
0,f1end,65.3906,F,WT
0,f2ini,66.6016,F,WT
0,f2max,72.5003,F,WT
0,f2end,65.6258,F,WT
0,f1ini,95.7173,F,WT
0,f1max,106.4313,F,WT
0,f1end,88.3898,F,WT
0,f2ini,71.7347,F,WT
0,f2max,72.9159,F,WT
0,f2end,67.9186,F,WT
0,f1ini,65.9306,F,WT
0,f1max,68.3590,F,WT
0,f1end,65.6182,F,WT
0,f2ini,70.7707,F,WT
0,f2max,72.5932,F,WT
0,f2end,65.8351,F,WT
0,f1ini,96.0921,F,WT
0,f1max,100.8203,F,WT
0,f1end,88.4362,F,WT
0,f2ini,71.3676,F,WT
0,f2max,71.7922,F,WT
0,f2end,68.3375,F,WT
0,f1ini,67.0641,F,WT
0,f1max,69.0682,F,WT
0,f1end,65.1477,F,WT
0,f2ini,55.8839,F,WT
0,f2max,63.0287,F,WT
0,f2end,55.4315,F,WT
0,f1ini,97.0799,F,WT
0,f1max,105.4628,F,WT
0,f1end,86.9780,F,WT
0,f2ini,70.5853,F,WT
0,f2max,71.5525,F,WT
0,f2end,68.3742,F,WT
0,f1ini,66.1812,F,WT
0,f1max,67.6457,F,WT
0,f1end,66.0256,F,WT
0,f2ini,67.1134,F,WT
0,f2max,68.2590,F,WT
0,f2end,62.0882,F,WT
0,f1ini,89.8047,F,WT
0,f1max,96.7266,F,WT
0,f1end,77.1094,F,WT
0,f2ini,77.1094,F,WT
0,f2max,87.8906,F,WT
0,f2end,74.1797,F,WT
0,f1ini,90.6463,F,WT
0,f1max,94.7316,F,WT
0,f1end,77.5703,F,WT
0,f2ini,77.5055,F,WT
0,f2max,86.9542,F,WT
0,f2end,73.5959,F,WT
0,f1ini,90.7816,F,WT
0,f1max,95.3375,F,WT
0,f1end,76.4547,F,WT
0,f2ini,77.8009,F,WT
0,f2max,87.0690,F,WT
0,f2end,74.5857,F,WT
0,f1ini,89.2044,F,WT
0,f1max,94.0697,F,WT
0,f1end,76.1693,F,WT
0,f2ini,76.8951,F,WT
0,f2max,88.8839,F,WT
0,f2end,74.5228,F,WT
0,f1ini,84.9219,F,WT
0,f1max,94.7266,F,WT
0,f1end,74.1797,F,WT
0,f2ini,74.1797,F,WT
0,f2max,78.1253,F,WT
0,f2end,73.2031,F,WT
0,f1ini,85.4217,F,WT
0,f1max,94.0327,F,WT
0,f1end,73.9038,F,WT
0,f2ini,74.4070,F,WT
0,f2max,78.1783,F,WT
0,f2end,73.9570,F,WT
0,f1ini,85.1038,F,WT
0,f1max,93.7656,F,WT
0,f1end,74.6422,F,WT
0,f2ini,73.2087,F,WT
0,f2max,78.2310,F,WT
0,f2end,74.0436,F,WT
0,f1ini,84.1858,F,WT
0,f1max,95.3714,F,WT
0,f1end,73.9012,F,WT
0,f2ini,73.8470,F,WT
0,f2max,77.8526,F,WT
0,f2end,72.7845,F,WT
0,f1ini,65.3175,M,WT
0,f1max,66.7450,M,WT
0,f1end,64.3629,M,WT
0,f2ini,62.4845,M,WT
0,f2max,62.9499,M,WT
0,f2end,60.9940,M,WT
0,f1ini,89.5615,M,WT
0,f1max,98.3207,M,WT
0,f1end,96.9757,M,WT
0,f2ini,91.3367,M,WT
0,f2max,93.9514,M,WT
0,f2end,71.2098,M,WT
0,f1ini,83.0145,M,WT
0,f1max,92.1950,M,WT
0,f1end,79.6823,M,WT
0,f2ini,76.1091,M,WT
0,f2max,81.5605,M,WT
0,f2end,73.9301,M,WT
0,f1ini,68.3203,M,WT
0,f1max,69.3359,M,WT
0,f1end,64.4141,M,WT
0,f2ini,60.5078,M,WT
0,f2max,64.4531,M,WT
0,f2end,52.6953,M,WT
0,f1ini,82.9967,M,WT
0,f1max,91.9012,M,WT
0,f1end,74.9039,M,WT
0,f2ini,71.8529,M,WT
0,f2max,77.5236,M,WT
0,f2end,69.3170,M,WT
0,f1ini,90.1232,M,WT
0,f1max,99.3994,M,WT
0,f1end,93.4434,M,WT
0,f2ini,83.1780,M,WT
0,f2max,85.9787,M,WT
0,f2end,72.2110,M,WT
0,f1ini,66.3672,M,WT
0,f1max,68.4063,M,WT
0,f1end,63.3906,M,WT
0,f2ini,61.4844,M,WT
0,f2max,64.5012,M,WT
0,f2end,60.5078,M,WT
0,f1ini,57.8359,M,WT
0,f1max,78.6328,M,WT
0,f1end,70.7813,M,WT
0,f2ini,90.7812,M,WT
0,f2max,94.7266,M,WT
0,f2end,76.1328,M,WT
0,f1ini,60.6628,M,WT
0,f1max,77.9995,M,WT
0,f1end,69.8907,M,WT
0,f2ini,89.9465,M,WT
0,f2max,90.8851,M,WT
0,f2end,75.7277,M,WT
0,f1ini,69.5095,M,WT
0,f1max,72.0664,M,WT
0,f1end,65.5440,M,WT
0,f2ini,60.3274,M,WT
0,f2max,63.5426,M,WT
0,f2end,59.9700,M,WT
0,f1ini,65.6805,M,WT
0,f1max,68.3140,M,WT
0,f1end,65.6777,M,WT
0,f2ini,60.0953,M,WT
0,f2max,63.7858,M,WT
0,f2end,59.4618,M,WT
0,f1ini,84.5858,M,WT
0,f1max,93.6853,M,WT
0,f1end,82.8227,M,WT
0,f2ini,70.3037,M,WT
0,f2max,80.6030,M,WT
0,f2end,72.0799,M,WT
0,f1ini,83.8047,M,WT
0,f1max,91.7969,M,WT
0,f1end,88.1094,M,WT
0,f2ini,76.1328,M,WT
0,f2max,80.0781,M,WT
0,f2end,73.2031,M,WT
0,f1ini,83.2457,M,WT
0,f1max,92.3087,M,WT
0,f1end,80.0748,M,WT
0,f2ini,76.4067,M,WT
0,f2max,78.5047,M,WT
0,f2end,73.2534,M,WT
0,f1ini,66.3422,M,WT
0,f1max,68.2650,M,WT
0,f1end,64.6495,M,WT
0,f2ini,61.1853,M,WT
0,f2max,64.5641,M,WT
0,f2end,59.3399,M,WT
0,f1ini,72.5036,M,WT
0,f1max,77.5452,M,WT
0,f1end,68.5763,M,WT
0,f2ini,80.2698,M,WT
0,f2max,94.0718,M,WT
0,f2end,74.3721,M,WT
0,f1ini,85.8984,M,WT
0,f1max,87.8906,M,WT
0,f1end,84.8984,M,WT
0,f2ini,76.1328,M,WT
0,f2max,86.9141,M,WT
0,f2end,71.7361,M,WT
0,f1ini,90.7813,M,WT
0,f1max,98.6328,M,WT
0,f1end,95.6641,M,WT
0,f2ini,92.7344,M,WT
0,f2max,92.7734,M,WT
0,f2end,71.2504,M,WT
0,f1ini,91.0316,M,WT
0,f1max,97.2667,M,WT
0,f1end,96.3608,M,WT
0,f2ini,92.5284,M,WT
0,f2max,93.7538,M,WT
0,f2end,71.9571,M,WT
0,f1ini,85.9947,M,WT
0,f1max,88.8614,M,WT
0,f1end,85.8367,M,WT
0,f2ini,76.8210,M,WT
0,f2max,81.7983,M,WT
0,f2end,70.8649,M,WT
0,f1ini,68.7908,M,WT
0,f1max,71.2930,M,WT
0,f1end,64.7231,M,WT
0,f2ini,60.1732,M,WT
0,f2max,62.2803,M,WT
0,f2end,52.6239,M,WT
0,f1ini,85.5468,M,WT
0,f1max,93.4088,M,WT
0,f1end,82.2084,M,WT
0,f2ini,78.4801,M,WT
0,f2max,80.2918,M,WT
0,f2end,72.7019,M,WT
0,f1ini,63.5981,M,WT
0,f1max,78.3295,M,WT
0,f1end,71.1443,M,WT
0,f2ini,91.6373,M,WT
0,f2max,92.0193,M,WT
0,f2end,76.7627,M,WT
0,f1ini,84.8281,M,WT
0,f1max,93.7500,M,WT
0,f1end,84.1797,M,WT
0,f2ini,72.2266,M,WT
0,f2max,78.0312,M,WT
0,f2end,76.1328,M,WT
0,f1ini,83.9973,M,WT
0,f1max,93.7665,M,WT
0,f1end,74.1392,M,WT
0,f2ini,71.5506,M,WT
0,f2max,73.2480,M,WT
0,f2end,65.9703,M,WT
0,f1ini,83.1763,M,WT
0,f1max,92.5015,M,WT
0,f1end,79.9419,M,WT
0,f2ini,76.9359,M,WT
0,f2max,78.3678,M,WT
0,f2end,74.0965,M,WT
0,f1ini,90.0973,M,WT
0,f1max,98.3129,M,WT
0,f1end,94.8355,M,WT
0,f2ini,93.0735,M,WT
0,f2max,93.1624,M,WT
0,f2end,71.6160,M,WT
0,f1ini,83.4758,M,WT
0,f1max,93.3042,M,WT
0,f1end,73.4694,M,WT
0,f2ini,70.7703,M,WT
0,f2max,76.1468,M,WT
0,f2end,68.1541,M,WT
0,f1ini,61.1197,M,WT
0,f1max,77.9045,M,WT
0,f1end,68.6304,M,WT
0,f2ini,90.0947,M,WT
0,f2max,94.2638,M,WT
0,f2end,75.6858,M,WT
0,f1ini,85.1837,M,WT
0,f1max,87.3634,M,WT
0,f1end,86.2443,M,WT
0,f2ini,75.9794,M,WT
0,f2max,80.1813,M,WT
0,f2end,65.6139,M,WT
0,f1ini,84.5075,M,WT
0,f1max,90.7733,M,WT
0,f1end,78.7633,M,WT
0,f2ini,77.1415,M,WT
0,f2max,79.3769,M,WT
0,f2end,72.5490,M,WT
0,f1ini,69.9102,M,WT
0,f1max,77.5157,M,WT
0,f1end,69.7047,M,WT
0,f2ini,81.2221,M,WT
0,f2max,85.5820,M,WT
0,f2end,77.6477,M,WT
