,seg,freq,sex,type
0,f1ini,81.6257,F,WT
0,f1max,86.6406,F,WT
0,f1end,80.6719,F,WT
0,f2ini,67.6719,F,WT
0,f2max,71.6875,F,WT
0,f2end,67.6719,F,WT
0,f1ini,74.1797,F,WT
0,f1max,84.1953,F,WT
0,f1end,73.2031,F,WT
0,f2ini,69.2969,F,WT
0,f2max,74.2188,F,WT
0,f2end,67.3438,F,WT
0,f1ini,84.1818,F,WT
0,f1max,87.1521,F,WT
0,f1end,73.1091,F,WT
0,f2ini,66.3379,F,WT
0,f2max,69.2183,F,WT
0,f2end,63.3439,F,WT
0,f1ini,89.8047,F,WT
0,f1max,97.6563,F,WT
0,f1end,86.8281,F,WT
0,f2ini,82.8754,F,WT
0,f2max,88.7969,F,WT
0,f2end,81.9922,F,WT
0,f1ini,88.0407,F,WT
0,f1max,95.6573,F,WT
0,f1end,88.9381,F,WT
0,f2ini,72.1981,F,WT
0,f2max,77.7965,F,WT
0,f2end,71.9922,F,WT
0,f1ini,86.8758,F,WT
0,f1max,103.5156,F,WT
0,f1end,81.9922,F,WT
0,f2ini,70.2734,F,WT
0,f2max,72.2656,F,WT
0,f2end,71.2500,F,WT
0,f1ini,80.5126,F,WT
0,f1max,96.1567,F,WT
0,f1end,81.8629,F,WT
0,f2ini,68.3717,F,WT
0,f2max,72.2652,F,WT
0,f2end,71.2502,F,WT
0,f1ini,84.9219,F,WT
0,f1max,95.7031,F,WT
0,f1end,75.1562,F,WT
0,f2ini,75.1562,F,WT
0,f2max,88.8672,F,WT
0,f2end,78.0859,F,WT
0,f1ini,80.1230,F,WT
0,f1max,96.7331,F,WT
0,f1end,76.3522,F,WT
0,f2ini,74.6673,F,WT
0,f2max,79.8673,F,WT
0,f2end,68.0854,F,WT
0,f1ini,84.0066,F,WT
0,f1max,87.0783,F,WT
0,f1end,83.2077,F,WT
0,f2ini,60.2378,F,WT
0,f2max,64.8089,F,WT
0,f2end,59.7663,F,WT
0,f1ini,73.2497,F,WT
0,f1max,75.6730,F,WT
0,f1end,72.2810,F,WT
0,f2ini,69.9224,F,WT
0,f2max,74.7893,F,WT
0,f2end,67.6665,F,WT
0,f1ini,90.5691,F,WT
0,f1max,96.9916,F,WT
0,f1end,85.0687,F,WT
0,f2ini,80.5932,F,WT
0,f2max,89.6745,F,WT
0,f2end,80.6455,F,WT
0,f1ini,86.8872,F,WT
0,f1max,100.8368,F,WT
0,f1end,79.6213,F,WT
0,f2ini,70.5156,F,WT
0,f2max,71.9714,F,WT
0,f2end,71.3728,F,WT
0,f1ini,85.8969,F,WT
0,f1max,95.7655,F,WT
0,f1end,74.8222,F,WT
0,f2ini,75.7826,F,WT
0,f2max,88.2270,F,WT
0,f2end,78.5390,F,WT
0,f1ini,80.7549,F,WT
0,f1max,91.8494,F,WT
0,f1end,77.7738,F,WT
0,f2ini,74.2632,F,WT
0,f2max,80.7513,F,WT
0,f2end,62.0916,F,WT
0,f1ini,88.8704,F,WT
0,f1max,97.1844,F,WT
0,f1end,84.1228,F,WT
0,f2ini,72.0575,F,WT
0,f2max,76.0939,F,WT
0,f2end,68.4558,F,WT
0,f1ini,90.4887,F,WT
0,f1max,93.9311,F,WT
0,f1end,82.4252,F,WT
0,f2ini,71.5842,F,WT
0,f2max,71.9430,F,WT
0,f2end,68.0472,F,WT
0,f1ini,75.8436,F,WT
0,f1max,88.7158,F,WT
0,f1end,80.3522,F,WT
0,f2ini,63.6076,F,WT
0,f2max,68.3785,F,WT
0,f2end,62.1284,F,WT
0,f1ini,82.5288,F,WT
0,f1max,91.0553,F,WT
0,f1end,81.1341,F,WT
0,f2ini,59.3661,F,WT
0,f2max,66.4026,F,WT
0,f2end,64.1872,F,WT
0,f1ini,80.6849,F,WT
0,f1max,87.5507,F,WT
0,f1end,72.2940,F,WT
0,f2ini,60.4997,F,WT
0,f2max,61.4047,F,WT
0,f2end,58.4515,F,WT
0,f1ini,83.5268,F,WT
0,f1max,88.9167,F,WT
0,f1end,73.0587,F,WT
0,f2ini,66.9079,F,WT
0,f2max,68.2313,F,WT
0,f2end,62.5891,F,WT
0,f1ini,88.2714,F,WT
0,f1max,94.7945,F,WT
0,f1end,89.0243,F,WT
0,f2ini,71.7452,F,WT
0,f2max,78.4447,F,WT
0,f2end,72.8711,F,WT
0,f1ini,80.4436,F,WT
0,f1max,95.8736,F,WT
0,f1end,81.6791,F,WT
0,f2ini,68.2048,F,WT
0,f2max,71.5982,F,WT
0,f2end,70.4211,F,WT
0,f1ini,79.2474,F,WT
0,f1max,96.3493,F,WT
