,seg,dur,sex,type
0,s1,0.0168,M,WT
1,sil,0.0190,M,WT
2,s2,0.0211,M,WT
3,s1,0.0445,M,WT
4,sil,0.0159,M,WT
5,s2,0.0189,M,WT
6,s1,0.0402,M,WT
7,sil,0.0073,M,WT
8,s2,0.0177,M,WT
9,s1,0.0317,M,WT
10,sil,0.0137,M,WT
11,s2,0.0129,M,WT
12,s1,0.0220,M,WT
13,sil,0.0179,M,WT
14,s2,0.0169,M,WT
15,s1,0.0288,M,WT
16,sil,0.0047,M,WT
17,s2,0.0278,M,WT
18,s1,0.0425,M,WT
19,sil,0.0082,M,WT
20,s2,0.0202,M,WT
21,s1,0.0174,M,WT
22,sil,0.0174,M,WT
23,s2,0.0205,M,WT
24,s1,0.0266,M,WT
25,sil,0.0036,M,WT
26,s2,0.0276,M,WT
27,s1,0.0455,M,WT
28,sil,0.0110,M,WT
29,s2,0.0276,M,WT
30,s1,0.0360,M,WT
31,sil,0.0155,M,WT
32,s2,0.0233,M,WT
33,s1,0.0230,M,WT
34,sil,0.0160,M,WT
35,s2,0.0213,M,WT
36,s1,0.0280,M,WT
37,sil,0.0151,M,WT
38,s2,0.0212,M,WT
39,s1,0.0220,M,WT
40,sil,0.0108,M,WT
41,s2,0.0277,M,WT
42,s1,0.0131,M,WT
43,sil,0.0192,M,WT
44,s2,0.0285,M,WT
45,s1,0.0156,M,WT
46,sil,0.0196,M,WT
47,s2,0.0225,M,WT
48,s1,0.0163,M,WT
49,sil,0.0167,M,WT
50,s2,0.0171,M,WT
51,s1,0.0311,M,WT
52,sil,0.0102,M,WT
53,s2,0.0254,M,WT
54,s1,0.0272,M,WT
55,sil,0.0181,M,WT
56,s2,0.0268,M,WT
57,s1,0.0282,M,WT
58,sil,0.0067,M,WT
59,s2,0.0297,M,WT
60,s1,0.0376,M,WT
61,sil,0.0112,M,WT
62,s2,0.0243,M,WT
63,s1,0.0414,M,WT
64,sil,0.0096,M,WT
65,s2,0.0187,M,WT
66,s1,0.0314,M,WT
67,sil,0.0243,M,WT
68,s2,0.0209,M,WT
69,s1,0.0282,M,WT
70,sil,0.0236,M,WT
71,s2,0.0215,M,WT
72,s1,0.0328,M,WT
73,sil,0.0148,M,WT
74,s2,0.0128,M,WT
75,s1,0.0265,F,WT
76,sil,0.0077,F,WT
77,s2,0.0274,F,WT
78,s1,0.0164,F,WT
79,sil,0.0067,F,WT
80,s2,0.0389,F,WT
81,s1,0.0257,F,WT
82,sil,0.0068,F,WT
83,s2,0.0389,F,WT
84,s1,0.0191,F,WT
85,sil,0.0256,F,WT
86,s2,0.0277,F,WT
87,s1,0.0234,F,WT
88,sil,0.0250,F,WT
89,s2,0.0317,F,WT
90,s1,0.0399,F,WT
91,sil,0.0220,F,WT
92,s2,0.0307,F,WT
93,s1,0.0336,F,WT
94,sil,0.0236,F,WT
95,s2,0.0267,F,WT
96,s1,0.0379,F,WT
97,sil,0.0046,F,WT
98,s2,0.0379,F,WT
99,s1,0.0312,F,WT
100,sil,0.0058,F,WT
101,s2,0.0379,F,WT
102,s1,0.0183,F,WT
103,sil,0.0108,F,WT
104,s2,0.0290,F,WT
105,s1,0.0203,F,WT
106,sil,0.0067,F,WT
107,s2,0.0363,F,WT
108,s1,0.0269,F,WT
109,sil,0.0221,F,WT
110,s2,0.0365,F,WT
111,s1,0.0308,F,WT
112,sil,0.0134,F,WT
113,s2,0.0321,F,WT
114,s1,0.0403,F,WT
115,sil,0.0057,F,WT
116,s2,0.0364,F,WT
117,s1,0.0316,F,WT
118,sil,0.0221,F,WT
119,s2,0.0298,F,WT
120,s1,0.0266,F,WT
121,sil,0.0067,F,WT
122,s2,0.0365,F,WT
123,s1,0.0242,F,WT
124,sil,0.0254,F,WT
125,s2,0.0225,F,WT
126,s1,0.0118,F,WT
127,sil,0.0281,F,WT
128,s2,0.0297,F,WT
129,s1,0.0297,F,WT
130,sil,0.0144,F,WT
131,s2,0.0364,F,WT
132,s1,0.0205,F,WT
133,sil,0.0081,F,WT
134,s2,0.0396,F,WT
135,s1,0.0325,F,WT
136,sil,0.0073,F,WT
137,s2,0.0386,F,WT
138,s1,0.0305,F,WT
139,sil,0.0296,F,WT
140,s2,0.0235,F,WT
141,s1,0.0381,F,WT
142,sil,0.0274,F,WT
143,s2,0.0382,F,WT
144,s1,0.0254,F,WT
145,sil,0.0022,F,WT
146,s2,0.0297,F,WT
147,s1,0.0229,F,WT
148,sil,0.0100,F,WT
149,s2,0.0360,F,WT
150,s1,0.0172,F,WT
151,sil,0.0084,F,WT
152,s2,0.0384,F,WT
153,s1,0.0350,F,WT
154,sil,0.0253,F,WT
155,s2,0.0218,F,WT
156,s1,0.0261,F,WT
157,sil,0.0036,F,WT
158,s2,0.0389,F,WT
159,s1,0.0150,F,WT
160,sil,0.0184,F,WT
161,s2,0.0205,F,WT
162,s1,0.0282,F,WT
163,sil,0.0108,F,WT
164,s2,0.0379,F,WT
165,s1,0.0220,F,WT
166,sil,0.0110,F,WT
167,s2,0.0380,F,WT
168,s1,0.0236,F,WT
169,sil,0.0184,F,WT
170,s2,0.0205,F,WT
171,s1,0.0320,F,WT
172,sil,0.0103,F,WT
173,s2,0.0360,F,WT
